,sku,pack,size (GM),brand,price,POS_exposed w-1,volume_on_promo w-1,sales w-1,scope,target
WE 10 December 2016,2689,SINGLE,395.41,BRAND1,1.16,,,,0,24175.0
WE 17 December 2016,2689,SINGLE,395.41,BRAND1,1.15,1.0,17.676111685625646,24175.0,0,23521.0
WE 24 December 2016,2689,SINGLE,395.41,BRAND1,1.16,1.0,24.482802601930192,23521.0,0,22075.0
WE 31 December 2016,2689,SINGLE,395.41,BRAND1,1.16,0.0,19.410645526613816,22075.0,0,16492.0
WE 07 January 2017,2689,SINGLE,395.41,BRAND1,1.16,0.0,29.812030075187973,16492.0,0,25971.0
WE 14 January 2017,2689,SINGLE,395.41,BRAND1,1.16,0.0,29.058565322860115,25971.0,0,26627.0
WE 21 January 2017,2689,SINGLE,395.41,BRAND1,1.16,1.0,41.87741765876742,26627.0,0,26122.0
WE 28 January 2017,2689,SINGLE,395.41,BRAND1,1.16,0.0,22.448510833779956,26122.0,0,26358.0
WE 04 February 2017,2689,SINGLE,395.41,BRAND1,1.16,0.0,22.16518703998786,26358.0,0,26844.0
WE 11 February 2017,2689,SINGLE,395.41,BRAND1,1.16,0.0,22.744747429593207,26844.0,0,25891.0
WE 18 February 2017,2689,SINGLE,395.41,BRAND1,1.16,2.0,23.543316210266116,25891.0,0,24802.0
WE 25 February 2017,2689,SINGLE,395.41,BRAND1,1.16,1.0,14.711313603741633,24802.0,0,26476.0
WE 04 March 2017,2689,SINGLE,395.41,BRAND1,1.13,1.0,33.27466384650249,26476.0,0,27541.0
WE 11 March 2017,2689,SINGLE,395.41,BRAND1,1.11,1.0,57.69579899059584,27541.0,0,27921.0
WE 18 March 2017,2689,SINGLE,395.41,BRAND1,1.1,0.0,75.3364850829125,27921.0,0,28831.0
WE 25 March 2017,2689,SINGLE,395.41,BRAND1,1.1,0.0,83.95719884846173,28831.0,0,28318.0
WE 01 April 2017,2689,SINGLE,395.41,BRAND1,1.1,1.0,71.65760293806059,28318.0,0,26012.0
WE 08 April 2017,2689,SINGLE,395.41,BRAND1,1.11,1.0,67.79025065354452,26012.0,0,14656.0
WE 15 April 2017,2689,SINGLE,395.41,BRAND1,1.13,0.0,19.74413209606987,14656.0,0,11545.0
WE 22 April 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,25.481160675617154,11545.0,0,11145.0
WE 29 April 2017,2689,SINGLE,395.41,BRAND1,1.12,2.0,28.42081650964558,11145.0,0,12921.0
WE 06 May 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,46.62874390527049,12921.0,0,12887.0
WE 13 May 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,26.701326918600138,12887.0,0,13015.0
WE 20 May 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,49.223972339608146,13015.0,0,12979.0
WE 27 May 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,45.19993836196933,12979.0,0,12881.0
WE 03 June 2017,2689,SINGLE,395.41,BRAND1,1.1,0.0,38.355717723779215,12881.0,0,12046.0
WE 10 June 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,36.32575128673419,12046.0,0,13724.0
WE 17 June 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,42.28140483823958,13724.0,0,13751.0
WE 24 June 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,57.698349210966484,13751.0,0,13386.0
WE 01 July 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,48.66726430599134,13386.0,0,12677.0
WE 08 July 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,39.54011201388341,12677.0,0,13163.0
WE 15 July 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,38.17366861657677,13163.0,0,12694.0
WE 22 July 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,34.69513155821648,12694.0,0,12304.0
WE 29 July 2017,2689,SINGLE,395.41,BRAND1,1.11,2.0,62.86573472041612,12304.0,0,12389.0
WE 05 August 2017,2689,SINGLE,395.41,BRAND1,1.11,2.0,69.25336992493341,12389.0,0,12666.0
WE 12 August 2017,2689,SINGLE,395.41,BRAND1,1.11,2.0,34.219958945207644,12666.0,0,12728.0
WE 19 August 2017,2689,SINGLE,395.41,BRAND1,1.11,5.0,48.6203645505971,12728.0,0,12912.0
WE 26 August 2017,2689,SINGLE,395.41,BRAND1,1.11,2.0,34.20926270136307,12912.0,0,12402.0
WE 02 September 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,39.92985002418965,12402.0,0,12551.0
WE 09 September 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,59.41916978726795,12551.0,0,12439.0
WE 16 September 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,40.8915507677466,12439.0,0,11679.0
WE 23 September 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,19.496532237349086,11679.0,0,11318.0
WE 30 September 2017,2689,SINGLE,395.41,BRAND1,1.12,0.0,42.99876303233787,11318.0,0,11860.0
WE 07 October 2017,2689,SINGLE,395.41,BRAND1,1.12,2.0,63.48145025295109,11860.0,0,12104.0
WE 14 October 2017,2689,SINGLE,395.41,BRAND1,1.09,0.0,78.95241242564441,12104.0,0,13143.0
WE 21 October 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,81.39694133759416,13143.0,0,12619.0
WE 28 October 2017,2689,SINGLE,395.41,BRAND1,1.11,15.0,86.89912037403914,12619.0,0,12159.0
WE 04 November 2017,2689,SINGLE,395.41,BRAND1,1.11,15.0,64.96175672341475,12159.0,0,12814.0
WE 11 November 2017,2689,SINGLE,395.41,BRAND1,1.11,17.0,66.7473076322772,12814.0,0,15052.0
WE 18 November 2017,2689,SINGLE,395.41,BRAND1,1.11,1.0,54.143635397289394,15052.0,0,16016.0
WE 25 November 2017,2689,SINGLE,395.41,BRAND1,1.11,1.0,44.869505494505496,16016.0,0,16186.0
WE 02 December 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,46.88001977017176,16186.0,0,15749.0
WE 09 December 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,50.185408597371264,15749.0,0,15029.0
WE 16 December 2017,2689,SINGLE,395.41,BRAND1,1.11,1.0,67.68647281921618,15029.0,0,15017.0
WE 23 December 2017,2689,SINGLE,395.41,BRAND1,1.11,1.0,56.628487713924216,15017.0,0,15824.0
WE 30 December 2017,2689,SINGLE,395.41,BRAND1,1.11,0.0,35.802578361981794,15824.0,0,9995.0
WE 06 January 2018,2689,SINGLE,395.41,BRAND1,1.11,0.0,33.70785392696348,9995.0,0,17032.0
WE 13 January 2018,2689,SINGLE,395.41,BRAND1,1.11,0.0,47.42719586660404,17032.0,0,17095.0
WE 20 January 2018,2689,SINGLE,395.41,BRAND1,1.11,0.0,51.82100029248318,17095.0,0,17006.0
WE 27 January 2018,2689,SINGLE,395.41,BRAND1,1.1,0.0,50.05351052569682,17006.0,0,17838.0
WE 03 February 2018,2689,SINGLE,395.41,BRAND1,1.12,0.0,34.90806144186568,17838.0,0,16250.0
WE 10 February 2018,2689,SINGLE,395.41,BRAND1,1.1,0.0,38.43323076923077,16250.0,0,16401.0
WE 17 February 2018,2689,SINGLE,395.41,BRAND1,1.1,0.0,49.000060971891955,16401.0,0,16149.0
WE 24 February 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,53.190290420459476,16149.0,0,17782.0
WE 03 March 2018,2689,SINGLE,395.41,BRAND1,1.09,4.0,57.13530536497582,17782.0,0,17563.0
WE 10 March 2018,2689,SINGLE,395.41,BRAND1,1.09,4.0,48.72857712235951,17563.0,0,18079.0
WE 17 March 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,49.549753858067376,18079.0,0,17470.0
WE 24 March 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,40.605037206639956,17470.0,0,17457.0
WE 31 March 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,30.727501861717364,17457.0,0,17601.0
WE 07 April 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,21.91750468723368,17601.0,0,15909.0
WE 14 April 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,46.470551260292915,15909.0,0,17828.0
WE 21 April 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,33.65772941440431,17828.0,0,18656.0
WE 28 April 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,31.877680102915956,18656.0,0,18578.0
WE 05 May 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,5.743890623317903,18578.0,0,17644.0
WE 12 May 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,11.393674903649966,17644.0,0,17816.0
WE 19 May 2018,2689,SINGLE,395.41,BRAND1,1.09,0.0,7.24012123933543,17816.0,0,18809.0
WE 26 May 2018,2689,SINGLE,395.41,BRAND1,1.08,2.0,4.5398479451326486,18809.0,0,17443.0
WE 02 June 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,17.56349251848879,17443.0,0,15543.0
WE 09 June 2018,2689,SINGLE,395.41,BRAND1,1.07,0.0,18.418580711574343,15543.0,0,15788.0
WE 16 June 2018,2689,SINGLE,395.41,BRAND1,1.08,2.0,48.84215860146947,15788.0,0,15726.0
WE 23 June 2018,2689,SINGLE,395.41,BRAND1,1.08,0.0,17.389673152740684,15726.0,0,15298.0
WE 30 June 2018,2689,SINGLE,395.41,BRAND1,1.07,0.0,14.39469211661655,15298.0,0,16823.0
WE 07 July 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,8.102597634191286,16823.0,0,16790.0
WE 14 July 2018,2689,SINGLE,395.41,BRAND1,1.07,5.0,21.503275759380582,16790.0,0,16119.0
WE 21 July 2018,2689,SINGLE,395.41,BRAND1,1.07,5.0,24.756498542093183,16119.0,0,17248.0
WE 28 July 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,41.82513914656772,17248.0,0,17523.0
WE 04 August 2018,2689,SINGLE,395.41,BRAND1,1.07,7.0,24.038692004793702,17523.0,0,17175.0
WE 11 August 2018,2689,SINGLE,395.41,BRAND1,1.18,8.0,28.312663755458516,17175.0,0,16120.0
WE 18 August 2018,2689,SINGLE,395.41,BRAND1,1.07,0.0,26.443548387096772,16120.0,0,20093.0
WE 25 August 2018,2689,SINGLE,395.41,BRAND1,1.07,2.0,33.04882297317474,20093.0,0,19197.0
WE 01 September 2018,2689,SINGLE,395.41,BRAND1,1.07,2.0,40.90795436786998,19197.0,0,16820.0
WE 08 September 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,24.558858501783593,16820.0,0,16301.0
WE 15 September 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,42.709649714741424,16301.0,0,15777.0
WE 22 September 2018,2689,SINGLE,395.41,BRAND1,1.07,7.0,31.754452684287248,15777.0,0,18159.0
WE 29 September 2018,2689,SINGLE,395.41,BRAND1,1.07,5.0,37.61715953521669,18159.0,0,18860.0
WE 06 October 2018,2689,SINGLE,395.41,BRAND1,1.07,0.0,32.20095440084836,18860.0,0,19072.0
WE 13 October 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,21.520029362416107,19072.0,0,16464.0
WE 20 October 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,23.45481049562682,16464.0,0,15150.0
WE 27 October 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,23.70891089108911,15150.0,0,15083.0
WE 03 November 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,44.82994099317112,15083.0,0,15503.0
WE 10 November 2018,2689,SINGLE,395.41,BRAND1,1.08,2.0,22.39695542798168,15503.0,0,16255.0
WE 17 November 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,27.11842509996924,16255.0,0,16049.0
WE 24 November 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,21.933453797744406,16049.0,0,15535.0
WE 01 December 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,29.30093337624718,15535.0,0,15626.0
WE 08 December 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,34.78561372072188,15626.0,0,14957.0
WE 15 December 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,36.72527913351608,14957.0,0,15105.0
